,topics,links,voices,replies,comments
0,Are you wearing a mask?,https://parkinsonsnewstoday.com/forums/forums/topic/are-you-wearing-a-mask/,['2'],['2'],"[['Posts'], ['\nIn Toronto, where I live, and other places across Ontario, local governments are mandating that folks wear a mask in public spaces, including restaurants and stores. I’m happy to oblige, and I’m trying to use cloth/washable masks as much as possible to mitigate my waste production. I’m still getting used to seeing only half of people’s faces when I leave my home, however. I think mask-wearing is a necessary precaution but it’s still weird to see in real life!\nI really love seeing all the colourful and unique cloth masks and I definitely want to pick up a few that match the summer season. If I have to accessorize with a mask, I want it to look cute! 🙂\nAre you wearing a mask when you leave your home? Has your community made it mandatory? If you’re not wearing a mask, why not? If you are, are you using a specific brand or model?\n'], ['\nDitto exactly and everything you said.\nExcept as it has gotten into the high 90’s here in FL, I’ve turned to paper. I re-use them several times, but my (cute!) (homemade!) cloth ones are just too hot right now.\n'], ['Posts']]"
1,How has your exercise regimen changed since quarantine started?,https://parkinsonsnewstoday.com/forums/forums/topic/how-has-your-exercise-regimen-changed-since-quarantine-started/,['5'],['8'],"[['Posts'], ['\n\nMy Dad (diagnosed in 2013) has had to shift his relationship to exercise since quarantine began. Originally, he made his way to Rock Steady Boxing twice a week. But since it’s not safe for groups to meet right now, classes are being delayed. Dad is focusing on bicycle session and manual labor around the house. How has your exercise regimen changed since quarantine started? Are you still finding ways to stay fit?\n'], ['\nThanks Mary Beth. My exercise regime has increased significantly during lockdown. I have more time available and doing it at home is very convenient. I’m in a regional area in Australia and many of the capital city PD exercise trainers have taken their classes online through Zoom, organised by the state Parkinson’s association for its members. These are free and have been great. They include sessions on Pilates, Dance with Parkinson’s, Exercises to strengthen core muscles class, balance and cognitive skills class and a session of Boxing for PD. So that’s 4 days a week. I’m hoping they will continue these Zoom sessions after lockdown as they are so convenient.\n'], ['\nOur RSB coaches have developed routines weekly for us to keep up with our exercise. They even do a scheduled zoom session each week so we can participate “together” doing the routine. I also signed up for the LSVT/pwr4life program with a local physical therapist who provided the program via telemed. The RSB coaches have also provided an opportunity to gather at 2 different parks in the area to walk together in June.\nOverall, I’m getting more exercise than I did before the covid 19 crisis.\n'], ['\nAllie – it’s funny you say that. My exercise regimen seems to have become more intense since quarantine began too. I have a lot more time and many fitness instructors are providing resources for us in a virtual way right now. I’m glad to hear that you’ve been able to adapt. Do you have a favorite fitness class?\nPatricia – I’m really glad to hear that RSB is adapting that way. Have you been enjoying these classes from home? What is your favorite part about virtual fitness?\n'], ['\nMary,\nI’m finally back into my gym, but they now require masks. My “Nose To Toes” workout is very intense for an hour (15 min. core, 20 min heavy weight training and 25 minutes cardio-vascular on a computerized recumbent bike in the Cardio Theater….After a lot of study and trial and error, I finally picked this mask. With the exhalation valves on each side and a five filter inhalation filter, it is like I’m wearing no mask at all and no rebreather air! The filters are recommended replaced about every 30 days, but they are not expensive. Hope This helps!\nMike Scott\n\n'], ['\nPrevious to COVID-19 I attended Yoga, T’ai Chi, and an exercise class each week at my local hospital.  These classes did much to improve my physical health as well as to provide wonderful social experiences.  Once we needed to stay home I became much more sedentary.  I knew I should exercise but just could not make myself do it on my own.  I definitely lost ground during those weeks, even suffering from sciatica.  Happily, over the past couple of weeks, both my local hospital and the local libraries started to provide classes using Zoom.  I am now doing more than I had before COVI-19, and I feel so much better! \n'], ['\nMary, I’m not sure that I have a favourite. I enjoy them all. I do miss the company of the other participants though. We used to go for coffee afterwards and that was great. It is with a different group (who are from all over he state) that I do the virtual sessions and not face to face of course. In Queensland COVID is under control now but state borders are still closed as there is still a few new cases in southern states.\n'], ['\nMary, I have a feeling that online sessions will be our new normal for quite a while to come.  I live in New Jersey, and with our dense population we were a hot spot for the virus since the end of March.  We are just in Phase 2 of things reopening, and I think, with the possibility of a second wave, the classes that I took will not be meeting in person for a long time, especially since most of us are over 65 and are more vulnerable than the average person.  In my case, besides PD, I am 73 and have asthma and heart issues, so even if classes started back up, I would be hesitant to go back yet, even though I really miss seeing my friends. \n'], ['Posts']]"
2,Has your approach to caregiving changed since quarantine began?,https://parkinsonsnewstoday.com/forums/forums/topic/has-your-approach-to-caregiving-changed-since-quarantine-began/,['0'],['1'],"[['Posts'], ['\n\nWith new restrictions in place across the nation, how we’re doing things is changing a lot. As a caregiver, that might mean that we have to be more available for our loved one. Perhaps we need to take extra precautions to keep them safe. Has your approach to caregiving changed since quarantine began? Have you been able to maintain stability throughout this process?\n'], ['Posts']]"
3,What do you need to feel safe in a COVID-19 world?,https://parkinsonsnewstoday.com/forums/forums/topic/what-do-you-need-to-feel-safe-in-a-covid-19-world/,['2'],['2'],"[['Posts'], ['\n\nLots of communities around the world are gradually starting to open back up, despite the fact that COVID-19 has certainly not disappeared. In my own province of Ontario in Canada, some communities are allowed to open up their places of worship to 30% capacity. My mom, who is a minister, is working with her church to figure how they can re-open safely, especially since so many of the members of the congregation are 60+. They’re doing a survey to gather insights to inform their decision-making, and one of the key questions is: what do you, church member, need us to do to make you feel safe coming back to church?\nSo, my question for you all is, what do you think you need to feel safe in a COVID-19 world, in church or anywhere outside your home? What social policies/regulations do you want to see in place? In what ways do you plan to protect yourself? Do you think we should wait until there is a vaccine to open up?\n'], ['\nI need space and privacy.  I need all strangers to wear a mask and stay 6 ft. away.  I do not need visitors in my home; I’ll visit with you on the patio or the porch, in the park or other outdoor space.  \nThe first few weeks this all started I was confused and scared and lonely.  I wanted a hug and to be told everything will be alright. All my anticipated trips and activities came crashing to CANCELLED. Now that I have adjusted, I know no comforting will be coming as everyone is in the same boat, so I deal with it.  I am retired so have not lost a job or income. I have my own projects and am investigating new ones.  If I absolutely need a ‘third hand’, I have trusted friends who will come over to help.  I do participate in a few Zoom meetings, talk or text with friends, and sometimes participate in outdoor church services.\nI listen to my neighbors playing with their children out in the yard, the folks across the street who are remodeling, and I speak to my neighbors unmasked but across the fence.  I am not sad or particularly lonely and appreciative of the extra amount of uninnterupted time I now have.  I am content and willing to deal with what I have to.  Just Please wear a mask and keep your social distance!  I would still like to go back to hugs someday.\n'], ['Posts']]"
4,Has Covid-19 changed your doctor appointments?,https://parkinsonsnewstoday.com/forums/forums/topic/has-covid-19-changed-your-doctor-appointments/,['8'],['11'],"[['Posts'], ['\n\nWith strict precautions in place across the country, how we’re receiving medical care is shifting. Many of my appointments have been delayed or re-scheduled. Have any of you experienced changes revolving around doctor appointments? Are you able to meet virtually?\n'], ['\nYes it certainly has and all for the good. My movement disorder Doc suggested that I email him directly with any questions or concerns and he answers very quickly. He still does my Dystonia botox injections and the office is empty. Looking forward to this nightmare being over.\n'], ['\nMy May neurologist appointment was changed to a phone call. \xa0It went ok but Zoom would have been useful if I had needed to demonstrate movement disorders. \xa0My November appointment is tentatively face to face.\n\xa0\n'], ['\nWelcome to Zoom. I ow communicate with my neurologist by zoom.\xa0 It seems to work out fine for now.\xa0 I am looking forward to face to face contact.\xa0 I wish I had bought stock in zoom months ago.\n\xa0\n'], ['\nHave you enjoyed minimizing travel time to the doctors office? Or is it mostly a headache to navigate technology for appointments?\n'], ['\nWe had our first telemed visit with the neurologist. His first words were, “Thank you for inviting me into your home.” I hadn’t thought of it that way!\nThen he asked to see the set-up that we have for my husband – his hospital bed, Hoyer lift, grab bars in the bathroom, etc. I was glad I had straightened up that morning and that the bed was made!\n'], ['\nMy last check in was via telemed. It worked out fine. My next appointment is at the office. (unless I hear otherwise).\xa0 If I didn’t feel I need an adjustment to my DBS stimulator, then I could see doing another telemed appointment. We certainly enjoyed the fact that we didn’t have a 2 hour commute each way, an hour of which is spent on a commuter train.\xa0 We now have to decide whether to drive or go in on the train.\xa0 It’s not til July so we have some time.\n\xa0\n'], ['\nI have had online appointments with my neurologist, my allergist, and my primary care doctor.  All of the appointments very well.  I was surprised with how through each appointment was.  My neurologist watched me walk and do other things that I would have done in the office.  My primary care doctor had me check my temp. and my blood pressure (I had my thermometer and blood pressure monitor handy) during our visit.  I can see online appointments being used on occasion even after COVID-19 is a thing of the past. \n'], ['\nYes,\nI visit a movement disorder clinic in Toronto. My most recent visit occurred in December, where I was given an appointment for a new Duodopa tube for mid February. I cancelled that one due to illness and rescheduled for late March. That was a bad idea.\nI was able to visit the psychiatrist by telephone, which worked very well.\n'], ['\nTwo things I wanted to add – our tele-med visits were much longer than the time we would have actually spent with the doctor in their office. They were both (neurologist and PCP) at least 45 minutes long. Also, we had their undivided attention, and they seemed more engaged. Perhaps it was because this was new to them and they had allotted more time for each call, not knowing what technical difficulties they may encounter. Nevertheless, I felt both visits were very personal and unhurried.\n'], ['\nWow! It sounds like there are a lot of benefits to telemedicine. I’ve, personally, had virtual appointments with my therapist and physical therapist. And you’re right, it seems much more efficient in terms of time.\nDoes anyone feel that they’re missing components that you might ordinarily receive from a doctor’s visit?\n'], ['Posts']]"
5,Coping with fear,https://parkinsonsnewstoday.com/forums/forums/topic/coping-with-fear/,['2'],['2'],"[['Posts'], ['\n\nThe last 3 months of living through a global pandemic have been stressful, overwhelming and quite frankly, pretty scary at times. These days I find myself praying more frequently and more urgently than ever before. Prayer is one way I cope with fear. I also talk to people who are close to me because talking out loud really helps me process difficult thoughts and feelings, and processing is comforting.\nWhat about you? Have you felt worried or scared since the pandemic began? How do you usually cope with fear? Have your coping mechanisms changed during the pandemic?\n'], ['\nThe fear only came after the doctor looked my husband in the eye and said, “If you get the COVID-19, you will not survive.” Those were his exact words, and they were shocking, partly because he is not usually the type to speak idle words. Then he turned to me and said, “Be careful and do not allow people into your home.”\n'], ['Posts']]"
6,Thoughts on States Reopening,https://parkinsonsnewstoday.com/forums/forums/topic/thoughts-on-states-reopening/,['7'],['10'],"[['Posts'], ['\n\nHey everyone! Hope you all had a safe and relaxing weekend. For those here in the U.S., I wish you all a good Memorial Day.\nSo, as states and other places around the world begin to reopen, I wanted to get your thoughts. I don’t want to start anything political here. Rather, I’m just curious if anyone here feels comfortable going out some, or if you’re going to remain on lockdown.\nFor me personally, I’m ok seeing immediate family, and I’ll resume physical therapy in June. However, I’m not even thinking about going to restaurants or other public places anytime soon. My parents and I have acclimated ok to quarantine life.\nWhat are your thoughts on this issue? Are you loosening your restrictions, or remaining on total lockdown?\n'], ['\nI’m not comfortable going out. There are still too many unanswered questions and no overarching guidance or directives in place. I will go grocery shopping, go to the pharmacy, or get take-out from a restaurant occasionally, but that’s about it. The experts say there will be a second wave, or a second peak, and I don’t want to take any chances. As states have begun to reopen and people gather en masse without masks or distancing, new cases of the virus erupt. I don’t want to be one of those statistics. \n'], ['\nI agree with continuing to stay at home, but will be a much happier individual if I am able to see my grandchildren and reschedule some of the social activities with small groups, masks and distancing.\xa0 I’m willing to take\xa0 a risk with close friends and family.\n'], ['\nI have not gone into any indoor space outside of my home, since March 14th.\xa0 My wife and I have not socialized with others.\nWe enjoy walking in our neighborhood and now that our beaches are open (Delray Beach, FL), we\xa0 beach walk in uncrowded spots.\xa0 I don’t plan to go shopping (all my groceries have been delivered); I don’t plan on eating in restaurants or cafes., I don’t plan on visiting\xa0 friends, UNTIL\xa0 the new diagnosis curve declines for two weeks.\n'], ['\nI can’t wait to get out to restaurants, etc.\xa0 I am 81 and have PD, so what do I have to lose? At most I have a few more years of being able to go out and travel and enjoy life. Hiding at home is not much of a life so it is now or never. If I lose the gamble, so be it.\nIf I were younger the equation might be different and I\xa0 don’t judge those who feel differently.\n\xa0\n\xa0\n\xa0\n'], ['\nRussell, which restaurant are you most excited to return to?\n'], ['\nPersonally I want to go to Nombei, an Izakaya here in Honolulu.\xa0 Their food is quite authentic for a place outside Japan. Then there is Arancino in the Kahala Hotel, Nobu, Rigo…..the list goes on and on.\n\xa0\nRuss\n'], ['\nI intend to continue to social distance even if my province (Ontario) opens further. \xa0I really miss the gym, but I can’t imagine a more risky proposition at this time. \xa0Fortunately it’s finally summer and there are lots of ways to exercise ALONE!\n'], ['\nWill you continue to dine in? Or try to minimize contact and get carry out?\nThese are questions I’ve been asking myself too. Is it the social experience that I crave? Or the food?\nJeffrey- I miss the gym too. That has been my biggest adjustment. But I’ve heard that many locations are coming up with ways to create social distancing even within gyms.\n'], ['\nWe’re planning on dining in or occasionally getting take-out. While I used to love going out to restaurants, wearing a mask and distancing from other diners takes the appeal out of it.\nI miss the gym (and my Rock Steady group), but I wouldn’t go back for at least a year. Fortunately, I’ve been able to come up with alternative workouts at home. It’s certainly not the same experience, but I feel a whole lot safer.\n'], ['Posts']]"
7,COVID-19 and Post-Traumatic Growth,https://parkinsonsnewstoday.com/forums/forums/topic/covid-19-and-post-traumatic-growth/,['0'],['1'],"[['Posts'], ['\n\nSo I’m sure you’re all pretty tired of hearing about COVID. Paying attention to the news right now is exhausting.\nHowever, I did want to share this column about COVID-19 and post-traumatic growth. The author, Brianna Albers, is a writer for one of our sibling sites. She’s been writing about mental health coping mechanisms, specifically related to Coronavirus anxiety. Her series on this subject is particularly applicable to people in rare disease communities.\nThis passage sticks out to me: “You don’t need to “take advantage” of quarantine by writing a book or painting the house. But you do need to act responsibly. For example, Animal Crossing: New Horizons\xa0is a great way to unwind. But are you spending the majority of your day playing video games? Are you taking a break, or are you numbing yourself to reality? We need to critically examine behavior patterns and recognize when self-care\xa0becomes indulgent and blurs to avoidance.”\nDo you have any takeaways from this column? Do you think about this concept of post-traumatic growth?\n'], ['Posts']]"
8,Preparing for a medical appointment during the COVID-19 pandemic,https://parkinsonsnewstoday.com/forums/forums/topic/preparing-for-a-medical-appointment-during-the-covid-19-pandemic/,['1'],['2'],"[['Posts'], ['\n\nSince the COVID-19 pandemic is having a major impact on our healthcare services, we have to approach medical appointments differently than before. TeleMed and other virtual services could become the new norm. Still, some appointments and procedures need to be in-person. It raises questions about how we can best approach appointments with our providers.\nDo you have any appointments that have to be in-person? Do you have any tips for preparing for these specialist appointments?\n'], ['\nI just had an telemedicine appointment today. While it’s not as good as a physical appointment, it worked out fine. I was able to update my history and get my prescription refilled. I recommend that you use a camera, as the doctor can have you go some of the tests usually done in-person.\n'], ['Posts']]"
9,Mental Health Check-in,https://parkinsonsnewstoday.com/forums/forums/topic/mental-health-check-in/,['1'],['2'],"[['Posts'], ['\n\nHey everyone! Hope you’re all staying safe and healthy.\nSo I just wanted to do a mental health check-in. Obviously it’s a stressful time, but how’s everyone doing mentally and emotionally? For me, I’m just trying to take things day by day. I’m keeping a lockdown journal, reading, watching movies, calling friends and family, and going outside in our front yard. This past month has definitely been a series of ups and downs, but I’m especially grateful for my health during this pandemic.\nDo you have any tips for taking care of your mental health during this time?\n'], ['\nWe are hanging in there and breathing a sigh of relief that the weather is finally becoming much more pleasant here in Southern Ontario.\xa0 There is nothing fun about going out for walks with a cold, biting wind howling at you!\xa0 Having a large breed dog to walk definitely encourages us to be outdoors for daily walks.\xa0 The whole neighbourhood is out working in their yards so there is always someone on the street to chat with from a distance.\xa0 Hoping this will all pass sooner than later!\xa0 Thank goodness we aren’t in the middle of January and stuck indoors.\xa0 Our Rock Steady Boxing grout is meeting 3x a week on-line via Zoom.\xa0 The coaches walk everyone through their fitness regime and it’s working out great.\xa0 It’s another way to connect with all the members and see how everyone is doing.\n\xa0\n'], ['Posts']]"
